Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,IPCA_lag4,Spread_lag4,Prob_Estresse,Log_Odds_Estresse,Score_Robustez
SOFISA - PRUDENCIAL,2018-03-01,2846954.0,25636.0,308435.0,0.1817,0.1393,167.98,0.7014778351999817,33.15,0.0133189990041908,0,2790300.0,9776.0,269187.0,0.2021,0.1601,164.34,0.9630321349999972,41.17333333333333,0.0476397217932464,-2.995276502101457,2.995276502101457
SOFISA - PRUDENCIAL,2018-06-01,2881222.0,42135.0,308435.0,0.1868,0.1252,167.89,1.8887030879999989,30.82333333333333,0.0184185511823976,0,2686242.0,259701.0,269187.0,0.1901,0.1567,165.65,0.2193980018000196,36.63666666666666,0.05007333771229532,-2.94289609908735,2.94289609908735
SOFISA - PRUDENCIAL,2018-09-01,3110274.0,36444.0,323173.0,0.1779,0.1271,169.35,0.7208535743999933,28.546666666666667,0.0183282427281378,0,2626796.0,24554.0,280695.0,0.2202,0.1599,166.12,0.5911447296000016,36.16333333333333,0.046733758592179035,-3.01542745104756,3.01542745104756
SOFISA - PRUDENCIAL,2018-12-01,3130317.0,617574.0,323173.0,0.1399,0.1093,169.09,0.3894135824999978,28.71666666666667,0.0157983715115778,0,2797778.0,38883.0,280695.0,0.1841,0.1452,167.13,1.144261174399985,33.526666666666664,0.04303860193940321,-3.1016656218337135,3.1016656218337135
SOFISA - PRUDENCIAL,2019-03-01,3244538.0,369754.0,362925.0,0.1476,0.1114,169.51,1.507011320000018,30.386666666666667,0.0158014759578345,0,2846954.0,25636.0,308435.0,0.1817,0.1393,167.98,0.7014778351999817,33.15,0.040765132303433475,-3.1583088383415148,3.1583088383415148
SOFISA - PRUDENCIAL,2019-06-01,3454295.0,323116.0,362925.0,0.1466,0.1083,170.58,0.710811074100004,30.69666666666667,0.0136505244735346,0,2881222.0,42135.0,308435.0,0.1868,0.1252,167.89,1.8887030879999989,30.82333333333333,0.04010520982949846,-3.175317438179198,3.175317438179198
SOFISA - PRUDENCIAL,2019-09-01,3821849.0,361606.0,375109.0,0.1379,0.1104,170.5,0.2600889164000142,30.59,0.0159555714158735,0,3110274.0,36444.0,323173.0,0.1779,0.1271,169.35,0.7208535743999933,28.546666666666667,0.034677080284961546,-3.3263837190950927,3.3263837190950927
SOFISA - PRUDENCIAL,2019-12-01,3962637.0,68607.0,375109.0,0.1465,0.1092,171.91,1.767530865000011,29.096666666666664,0.0198741397655622,0,3130317.0,617574.0,323173.0,0.1399,0.1093,169.09,0.3894135824999978,28.71666666666667,0.04089177061180071,-3.1550750898564166,3.1550750898564166
SOFISA - PRUDENCIAL,2020-03-01,4268992.0,171418.0,380164.0,0.1272,0.1177999999999999,168.09,0.5308473674999981,28.24,0.0207610715177803,0,3244538.0,369754.0,362925.0,0.1476,0.1114,169.51,1.507011320000018,30.386666666666667,0.0373563205070799,-3.2491812115077314,3.2491812115077314
SOFISA - PRUDENCIAL,2020-06-01,3951208.0,52793.0,380164.0,0.1632999999999999,0.1231,153.27,-0.4306129372000034,24.44333333333333,0.0243362855770522,0,3454295.0,323116.0,362925.0,0.1466,0.1083,170.58,0.710811074100004,30.69666666666667,0.032247493889719155,-3.4015360478070717,3.4015360478070717
SOFISA - PRUDENCIAL,2020-09-01,4249113.0,67766.0,398989.0,0.1604,0.109,165.34,1.2447095295999857,21.71666666666667,0.0191199632514936,0,3821849.0,361606.0,375109.0,0.1379,0.1104,170.5,0.2600889164000142,30.59,0.028610338284878894,-3.5249595562923894,3.5249595562923894
SOFISA - PRUDENCIAL,2020-12-01,4225953.0,15130.0,398989.0,0.168,0.0956,171.47,3.131382328999988,20.72,0.0097241468445297,0,3962637.0,68607.0,375109.0,0.1465,0.1092,171.91,1.767530865000011,29.096666666666664,0.024100439672679316,-3.701129587709485,3.701129587709485
SOFISA - PRUDENCIAL,2021-03-01,4481086.0,39978.0,436552.0,0.16,0.1013,173.12,2.052492994999988,22.403333333333336,0.0102216445625893,0,4268992.0,171418.0,380164.0,0.1272,0.1177999999999999,168.09,0.5308473674999981,28.24,0.02529161037782506,-3.651665603677225,3.651665603677225
SOFISA - PRUDENCIAL,2021-06-01,4904281.0,38539.0,436552.0,0.1533,0.1028999999999999,172.06,1.6786286369000036,21.46333333333333,0.0115673150848727,0,3951208.0,52793.0,380164.0,0.1632999999999999,0.1231,153.27,-0.4306129372000034,24.44333333333333,0.043067978467542206,-3.100952594163902,3.100952594163902
SOFISA - PRUDENCIAL,2021-09-01,5325166.0,13079.0,487930.0,0.1467,0.0932,172.27,3.0196768831999954,21.08666666666667,0.0147892627583473,0,4249113.0,67766.0,398989.0,0.1604,0.109,165.34,1.2447095295999857,21.71666666666667,0.026177003261465975,-3.6163482718187203,3.6163482718187203
SOFISA - PRUDENCIAL,2021-12-01,5714983.0,61744.0,487930.0,0.125,0.0898,174.3,2.958021687500012,22.62,0.0142594816913855,0,4225953.0,15130.0,398989.0,0.168,0.0956,171.47,3.131382328999988,20.72,0.021251287806480338,-3.8298574354477424,3.8298574354477424
SOFISA - PRUDENCIAL,2022-03-01,5405568.0,24220.0,463806.0,0.1377,0.0911999999999999,175.72,3.2006523548000043,24.72,0.0160787032826887,0,4481086.0,39978.0,436552.0,0.16,0.1013,173.12,2.052492994999988,22.403333333333336,0.018656809573652258,-3.962711031783502,3.962711031783502
SOFISA - PRUDENCIAL,2022-06-01,6200390.0,19323.0,463806.0,0.1264,0.0853999999999999,177.81,2.215266379399994,25.546666666666667,0.0168739423186273,0,4904281.0,38539.0,436552.0,0.1533,0.1028999999999999,172.06,1.6786286369000036,21.46333333333333,0.016382314750588434,-4.095034906299953,4.095034906299953
