Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto_P90,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,IPCA_lag4,Spread_lag4,Prob_Estresse_P90,Log_Odds_Estresse_P90,Score_Robustez_P90,Alerta_Estresse
PARANÁ BANCO - PRUDENCIAL,2018-06-01,2562043.0,27645.0,1002115.0,0.2206,0.1607,167.89,1.8887030879999989,30.82333333333333,0.0857448256088441,0,2899215.0,217.0,830673.0,0.2128,0.1626999999999999,165.65,0.2193980018000196,36.63666666666666,0.1390631175559847,-1.8230932813880985,1.8230932813880985,0
PARANÁ BANCO - PRUDENCIAL,2018-09-01,2524112.0,0.0,1043437.0,0.24,0.17,169.35,0.7208535743999933,28.546666666666667,0.0722010615051236,0,2868706.0,47.0,871404.0,0.2141,0.1609,166.12,0.5911447296000016,36.16333333333333,0.1415016415455531,-1.8028734502985675,1.8028734502985675,0
PARANÁ BANCO - PRUDENCIAL,2018-12-01,2507200.0,6988.0,1043437.0,0.2442,0.1739,169.09,0.3894135824999978,28.71666666666667,0.0648992840131245,0,2862148.0,25164.0,871404.0,0.2089,0.1644,167.13,1.144261174399985,33.526666666666664,0.1340341400744106,-1.8657509410065456,1.8657509410065456,0
PARANÁ BANCO - PRUDENCIAL,2019-03-01,2658395.0,7673.0,1142701.0,0.2757,0.2112,169.51,1.507011320000018,30.386666666666667,0.0581940435463665,0,2581749.0,27314.0,1002115.0,0.1972,0.1524,167.98,0.7014778351999817,33.15,0.1489351076276715,-1.7429776882382,1.7429776882382,0
PARANÁ BANCO - PRUDENCIAL,2019-06-01,2534208.0,7909.0,1142701.0,0.2926,0.1902,170.58,0.710811074100004,30.69666666666667,0.0512566475427733,0,2562043.0,27645.0,1002115.0,0.2206,0.1607,167.89,1.8887030879999989,30.82333333333333,0.1436395716553723,-1.7853841615046218,1.7853841615046218,0
PARANÁ BANCO - PRUDENCIAL,2019-09-01,2503231.0,0.0,1133891.0,0.24,0.1761,170.5,0.2600889164000142,30.59,0.0436043053729911,0,2524112.0,0.0,1043437.0,0.24,0.17,169.35,0.7208535743999933,28.546666666666667,0.1298367223719935,-1.9024031902936616,1.9024031902936616,0
PARANÁ BANCO - PRUDENCIAL,2019-12-01,2643177.0,0.0,1133891.0,0.206,0.1534,171.91,1.767530865000011,29.096666666666664,0.0371427202054544,0,2507200.0,6988.0,1043437.0,0.2442,0.1739,169.09,0.3894135824999978,28.71666666666667,0.1288688684449286,-1.9109971548430853,1.9109971548430853,0
PARANÁ BANCO - PRUDENCIAL,2020-03-01,2863118.0,0.0,1146619.0,0.1888,0.1646,168.09,0.5308473674999981,28.24,0.0303363676249561,0,2658395.0,7673.0,1142701.0,0.2757,0.2112,169.51,1.507011320000018,30.386666666666667,0.1352872317816515,-1.8549972310013791,1.8549972310013791,0
PARANÁ BANCO - PRUDENCIAL,2020-06-01,3228358.0,0.0,1146619.0,0.2157,0.153,153.27,-0.4306129372000034,24.44333333333333,0.0282727778252591,0,2534208.0,7909.0,1142701.0,0.2926,0.1902,170.58,0.710811074100004,30.69666666666667,0.1282664478235292,-1.9163740939357763,1.9163740939357763,0
PARANÁ BANCO - PRUDENCIAL,2020-09-01,3501029.0,0.0,465352.0,0.2386,0.1231,165.34,1.2447095295999857,21.71666666666667,0.0268464986638873,0,2503231.0,0.0,1133891.0,0.24,0.1761,170.5,0.2600889164000142,30.59,0.1381002221028849,-1.831159328389758,1.831159328389758,0
